point_id,latitude,longitude
18526,51.52944094,0.08897744
7518,51.54422192,0.14792096
6797,51.3673621,0.04567621
36807,51.48210959,0.10164855
28510,51.50141544,-0.07579988
36666,51.5481607,-0.08742865
16435,51.52247873,-0.16000475
18267,51.53656472,0.07368678
46813,51.45148929,-0.2217267
28383,51.48213767,-0.11136484
37718,51.50745977,-0.27229016
27615,51.48940965,-0.37147005
36945,51.4685241,-0.36014847
26887,51.39699712,-0.18675115
26773,51.49100803,-0.04358134
37825,51.52994575,-0.12048791
17687,51.54988713,-0.13033947
26145,51.57491631,-0.2368276
36799,51.44733842,0.01902523
36664,51.5394757,-0.09803159
6630,51.54340239,-0.09065681
8475,51.52618233,-0.08519295
7605,51.46836896,-0.15023211
6760,51.48902365,0.08712937
8381,51.52839721,-0.11925417
28386,51.46121299,-0.30138848
16755,51.42181548,-0.05214736
17524,51.50714254,-0.33747861
6871,51.49820693,-0.10407316
6783,51.42752877,0.13611252
16861,51.41751701,-0.3586665
46781,51.49276829,-0.04667524
36187,51.52206519,-0.07814371
6639,51.5986547,-0.07101476
9029,51.40733822,-0.16362335
46818,51.37750152,-0.09160584
28539,51.45699699,-0.33029038
46680,51.53715144,0.07101689
16617,51.68011848,-0.04874854
46787,51.46501252,0.05147942
6649,51.55141681,0.04728711
46433,51.51605939,-0.13504059
28309,51.46096419,-0.30283727
36825,51.42381353,0.10285524
38572,51.49096093,-0.15724118
7889,51.52905728,0.18988455
28092,51.54490148,-0.03068324
26664,51.54500767,0.01757821
18335,51.36775948,-0.1008461
6896,51.50197747,-0.17163756
27242,51.58920116,-0.10894888
17169,51.52655112,-0.13317007
16764,51.46398428,-0.21548261
37649,51.45816599,-0.0750716
36814,51.39467155,-0.04223157
18468,51.51104949,-0.10858384
6886,51.41288941,-0.36213977
27081,51.58365907,-0.35600641
26434,51.53447535,-0.33782326
28379,51.53685497,-0.14212113
16202,51.52015642,0.04530867
6252,51.43018219,-0.01481927
27695,51.56252522,-0.29905878
36942,51.53889502,-0.38646036
8618,51.50930688,-0.08487775
6898,51.48985441,-0.2859202
26889,51.50372442,-0.11162508
26798,51.4582306,-0.19209923
17638,51.51318518,-0.14092294
16738,51.47363893,-0.0863721
17865,51.56125157,0.15103142
38745,51.4551113,0.14639705
38830,51.50658074,0.03994515
27075,51.54018469,-0.14227389
38579,51.44784237,-0.45214304
28108,51.49089925,-0.2835762
17174,51.5852512,-0.08168671
28387,51.50194251,-0.07942312
16791,51.38924219,-0.30549222
46435,51.50871392,-0.20018926
37663,51.48550015,-0.12476536
18459,51.52717977,-0.08845254
16228,51.4289098,0.08438768
26783,51.48520474,0.15897408
26826,51.41485347,-0.17842268
16737,51.50405995,-0.10455058
26822,51.37275027,0.08183613
28767,51.4134797,-0.30128952
28110,51.48335551,-0.17464389
27680,51.5095521,-0.32985401
18339,51.46601711,-0.11548547
37637,51.34304042,-0.06309897
6658,51.56040582,0.14810598
8352,51.47493825,-0.03447721
16741,51.48280723,0.06236024
28513,51.4965685,-0.14217576
46659,51.54002387,-0.05474601
36661,51.57678497,-0.12533928
17527,51.46917396,-0.374523
18167,51.49675026,-0.10630911
6188,51.61122594,-0.08636944
17567,51.49456533,-0.12367301
46469,51.51976003,-0.15867296
26146,51.51883269,-0.16836775
16616,51.54709657,-0.06915616
26831,51.32714091,-0.32687112
38270,51.51092453,-0.07274727
16108,51.51019089,-0.12231019
28758,51.5468939,-0.12873147
6779,51.44582064,0.1192653
7043,51.53820301,-0.14206621
36916,51.50346834,-0.0957855
8380,51.49963665,-0.08139316
46805,51.45849274,-0.09506675
7538,51.54847152,-0.09823319
8476,51.39670124,-0.24768645
27735,51.51828862,-0.17963236
46216,51.50120218,0.21736661
26433,51.50452792,-0.22052742
6636,51.52527938,-0.05494222
16250,51.49743368,-0.11188523
26115,51.4991689,-0.16454613
8489,51.5127926,-0.04005331
17573,51.49547704,-0.15849966
6767,51.4266285,-0.0549636
26909,51.40379796,-0.34233645
6097,51.44602939,0.1571241
18266,51.36698232,-0.11732763
26659,51.54685624,-0.00108949
37541,51.56516557,-0.02019809
36255,51.42797678,-0.01203773
26809,51.43980585,0.15323333
38022,51.58921269,0.27073406
27264,51.54310927,-0.13955884
28766,51.37762407,-0.0991448
36793,51.52664677,-0.11384806
18494,51.48035255,-0.19267958
17013,51.56941816,-0.32188939
37383,51.59501908,-0.19865518
38177,51.50598298,-0.13588456
26463,51.58105098,-0.22619799
38463,51.49205776,-0.04720983
8049,51.61387135,-0.41263183
38269,51.50908623,-0.08733689
38689,51.46912481,-0.27661813
17915,51.51752122,-0.0917399
28496,51.53925701,-0.25161833
17580,51.55952413,-0.32802407
38815,51.39345059,0.02958889
18434,51.53376931,0.06033757
6770,51.42264821,-0.10288618
26430,51.51789104,-0.109021
26217,51.51372109,0.00135075
17579,51.520471,-0.26430218
28411,51.46055334,-0.15645009
26182,51.52565506,-0.07770415
8664,51.45731075,0.14513283
6458,51.57310296,-0.21207729
6243,51.44090149,0.04176492
36269,51.46347816,-0.11474066
7470,51.62165383,-0.17650934
6644,51.53774723,0.00572129
46122,51.47853144,-0.36843009
16401,51.51684336,-0.12780184
37827,51.52045647,-0.11756342
26649,51.59005677,-0.10290787
17023,51.55038054,-0.21989169
28214,51.51585873,-0.10623699
6071,51.51822828,-0.00983855
26790,51.36271453,-0.06841704
18619,51.40052685,-0.07317958
46671,51.57355221,0.01537832
28690,51.57567952,0.17769087
28773,51.54994586,-0.00297338
16756,51.38348944,-0.10594377
26078,51.52147915,-0.09734039
6657,51.57268922,0.06498279
6751,51.51295683,-0.10418114
8670,51.60566995,-0.049344
17525,51.45428462,-0.31731995
17014,51.55259687,-0.29654374
6884,51.47240558,-0.20161866
7652,51.56103186,-0.3328741
26199,51.60675441,0.01944699
16864,51.43059561,-0.36150662
38368,51.53394681,-0.13792837
26114,51.50892987,-0.13684504
17429,51.6733902,-0.0389137
18460,51.48802787,-0.19414797
16140,51.60118802,-0.26801189
8477,51.4232861,-0.1427028
8544,51.4580469,-0.19476955
27675,51.58502149,-0.26934829
28796,51.42895674,-0.1042793
6755,51.45096089,0.03213854
16625,51.63124298,-0.12309471
6756,51.44054414,-0.05897717
26271,51.36893617,-0.11803769
6108,51.48569524,-0.10891335
28523,51.45439729,-0.37500462
