point_id,latitude,longitude,local_authority_id,road_category,road_type,road_name,link_length_km,link_length_miles
18526,51.52944094,0.08897744,168,PA,Major,A13,2.10,1.30
7518,51.54422192,0.14792096,168,PA,Major,A1240,2.80,1.74
6797,51.3673621,0.04567621,176,PA,Major,A232,1.00,0.62
36807,51.48210959,0.10164855,105,PA,Major,A209,1.60,0.99
28510,51.50141544,-0.07579988,103,PA,Major,A200,0.30,0.19
36666,51.5481607,-0.08742865,96,PA,Major,A105,0.70,0.43
16435,51.52247873,-0.16000475,109,PA,Major,A4380,0.50,0.31
18267,51.53656472,0.07368678,168,PA,Major,A124,1.10,0.68
46813,51.45148929,-0.2217267,108,PA,Major,A219,1.70,1.06
28383,51.48213767,-0.11136484,107,PA,Major,A23,0.20,0.12
37718,51.50745977,-0.27229016,147,PA,Major,A4020,0.30,0.19
27615,51.48940965,-0.37147005,111,PA,Major,A3005,0.80,0.50
36945,51.4685241,-0.36014847,111,PA,Major,A315,0.60,0.37
26887,51.39699712,-0.18675115,204,PA,Major,A297,1.50,0.93
26773,51.49100803,-0.04358134,103,PA,Major,A200,0.30,0.19
37825,51.52994575,-0.12048791,145,PA,Major,A5200,0.30,0.19
17687,51.54988713,-0.13033947,96,PA,Major,A5200,0.20,0.12
26145,51.57491631,-0.2368276,57,PA,Major,A5,0.80,0.50
36799,51.44733842,0.01902523,104,PA,Major,A205,0.70,0.43
36664,51.5394757,-0.09803159,96,PA,Major,A104,0.80,0.50
6630,51.54340239,-0.09065681,96,PA,Major,A104,0.90,0.56
8475,51.52618233,-0.08519295,122,PA,Major,A5201,0.20,0.12
7605,51.46836896,-0.15023211,108,PA,Major,A3216,1.30,0.81
6760,51.48902365,0.08712937,105,PA,Major,A206,1.30,0.81
8381,51.52839721,-0.11925417,145,PA,Major,A5200,0.10,0.06
28386,51.46121299,-0.30138848,175,PA,Major,A305,0.30,0.19
16755,51.42181548,-0.05214736,176,PA,Major,A213,1.30,0.81
17524,51.50714254,-0.33747861,147,PA,Major,A4001,0.30,0.19
6871,51.49820693,-0.10407316,103,PA,Major,A201,0.20,0.12
6783,51.42752877,0.13611252,106,PA,Major,A223,3.30,2.05
16861,51.41751701,-0.3586665,175,PA,Major,A311,0.80,0.50
46781,51.49276829,-0.04667524,103,PA,Major,A200,0.30,0.19
36187,51.52206519,-0.07814371,122,PA,Major,A10,0.20,0.12
6639,51.5986547,-0.07101476,165,PA,Major,A109,0.50,0.31
9029,51.40733822,-0.16362335,204,PA,Major,A217,0.70,0.43
46818,51.37750152,-0.09160584,134,PA,Major,A222,1.10,0.68
28539,51.45699699,-0.33029038,175,PA,Major,A310,0.20,0.12
46680,51.53715144,0.07101689,168,PA,Major,A124,0.40,0.25
16617,51.68011848,-0.04874854,121,PA,Major,A1055,1.20,0.75
46787,51.46501252,0.05147942,105,PA,Major,A205,1.20,0.75
6649,51.55141681,0.04728711,167,PA,Major,A117,0.80,0.50
46433,51.51605939,-0.13504059,109,PA,Major,A40,0.70,0.43
28309,51.46096419,-0.30283727,175,PA,Major,A307,0.20,0.12
36825,51.42381353,0.10285524,106,PA,Major,A2001,0.40,0.25
38572,51.49096093,-0.15724118,110,PA,Major,A3216,0.40,0.25
7889,51.52905728,0.18988455,201,PA,Major,A125,1.90,1.18
28092,51.54490148,-0.03068324,122,PA,Major,A106,0.10,0.06
26664,51.54500767,0.01757821,167,PA,Major,A118,1.50,0.93
18335,51.36775948,-0.1008461,134,PA,Major,A212,0.70,0.43
6896,51.50197747,-0.17163756,109,PA,Major,A315,1.70,1.06
27242,51.58920116,-0.10894888,165,PA,Major,A504,0.80,0.50
17169,51.52655112,-0.13317007,145,PA,Major,A501,0.40,0.25
16764,51.46398428,-0.21548261,108,PA,Major,A219,0.50,0.31
37649,51.45816599,-0.0750716,103,PA,Major,A2216,2.10,1.30
36814,51.39467155,-0.04223157,176,PA,Major,A214,3.80,2.36
18468,51.51104949,-0.10858384,174,PA,Major,A3211,0.50,0.31
6886,51.41288941,-0.36213977,175,PA,Major,A308,0.20,0.12
27081,51.58365907,-0.35600641,185,PA,Major,A404,1.50,0.93
26434,51.53447535,-0.33782326,147,PA,Major,A40,3.90,2.42
28379,51.53685497,-0.14212113,145,PA,Major,A503,0.40,0.25
16202,51.52015642,0.04530867,167,PA,Major,A13,2.00,1.24
6252,51.43018219,-0.01481927,104,PA,Major,A21,1.90,1.18
27695,51.56252522,-0.29905878,118,PA,Major,A4088,3.30,2.05
36942,51.53889502,-0.38646036,147,PA,Major,A312,1.40,0.87
8618,51.50930688,-0.08487775,174,PA,Major,A3211,0.60,0.37
6898,51.48985441,-0.2859202,111,PA,Major,A205,0.20,0.12
26889,51.50372442,-0.11162508,107,PA,Major,A301,0.90,0.56
26798,51.4582306,-0.19209923,108,PA,Major,A217,0.30,0.19
17638,51.51318518,-0.14092294,109,PA,Major,A4201,0.90,0.56
16738,51.47363893,-0.0863721,103,PA,Major,A202,1.70,1.06
17865,51.56125157,0.15103142,168,PA,Major,A124,0.40,0.25
38745,51.4551113,0.14639705,106,PA,Major,A207,1.10,0.68
38830,51.50658074,0.03994515,167,PA,Major,A1020,0.50,0.31
27075,51.54018469,-0.14227389,145,PA,Major,A400,0.40,0.25
38579,51.44784237,-0.45214304,111,PA,Major,A30,0.90,0.56
28108,51.49089925,-0.2835762,111,PA,Major,A205,0.30,0.19
17174,51.5852512,-0.08168671,165,PA,Major,A504,1.70,1.06
28387,51.50194251,-0.07942312,103,PA,Major,A200,0.20,0.12
16791,51.38924219,-0.30549222,178,PA,Major,A243,1.20,0.75
46435,51.50871392,-0.20018926,110,PA,Major,A402,1.40,0.87
37663,51.48550015,-0.12476536,107,PA,Major,A3036,0.30,0.19
18459,51.52717977,-0.08845254,96,PA,Major,A501,0.10,0.06
16228,51.4289098,0.08438768,106,PA,Major,A20,2.30,1.43
26783,51.48520474,0.15897408,106,PA,Major,A206,4.10,2.55
26826,51.41485347,-0.17842268,204,PA,Major,A24,0.40,0.25
16737,51.50405995,-0.10455058,103,PA,Major,A201,0.90,0.56
26822,51.37275027,0.08183613,176,PA,Major,A232,3.50,2.17
28767,51.4134797,-0.30128952,178,PA,Major,A308,0.20,0.12
28110,51.48335551,-0.17464389,110,PA,Major,A3220,0.30,0.19
27680,51.5095521,-0.32985401,147,PA,Major,A4020,3.30,2.05
18339,51.46601711,-0.11548547,107,PA,Major,A203,0.20,0.12
37637,51.34304042,-0.06309897,134,PA,Major,A2022,3.70,2.30
6658,51.56040582,0.14810598,168,PA,Major,A124,0.60,0.37
8352,51.47493825,-0.03447721,104,PA,Major,A2,0.10,0.06
16741,51.48280723,0.06236024,105,PA,Major,A205,1.90,1.18
28513,51.4965685,-0.14217576,109,PA,Major,A202,0.10,0.06
46659,51.54002387,-0.05474601,122,PA,Major,A106,1.50,0.93
36661,51.57678497,-0.12533928,165,PA,Major,A103,0.50,0.31
17527,51.46917396,-0.374523,111,PA,Major,A3006,0.80,0.50
18167,51.49675026,-0.10630911,103,PA,Major,A302,0.20,0.12
6188,51.61122594,-0.08636944,121,PA,Major,A10,1.00,0.62
17567,51.49456533,-0.12367301,109,PA,Major,A3203,0.20,0.12
46469,51.51976003,-0.15867296,109,PA,Major,A4380,0.50,0.31
26146,51.51883269,-0.16836775,109,PA,Major,A5,0.20,0.12
16616,51.54709657,-0.06915616,122,PA,Major,A104,0.90,0.56
26831,51.32714091,-0.32687112,178,PA,Major,A243,1.70,1.06
38270,51.51092453,-0.07274727,93,PA,Major,A1210,0.20,0.12
16108,51.51019089,-0.12231019,109,PA,Major,A4,0.70,0.43
28758,51.5468939,-0.12873147,145,PA,Major,A5200,0.40,0.25
6779,51.44582064,0.1192653,106,PA,Major,A221,1.10,0.68
7043,51.53820301,-0.14206621,145,PA,Major,A400,0.20,0.12
36916,51.50346834,-0.0957855,103,PA,Major,A300,0.20,0.12
8380,51.49963665,-0.08139316,103,PA,Major,A2205,0.50,0.31
46805,51.45849274,-0.09506675,103,PA,Major,A215,1.90,1.18
7538,51.54847152,-0.09823319,96,PA,Major,A1201,2.20,1.37
8476,51.39670124,-0.24768645,178,PA,Major,A3,0.60,0.37
27735,51.51828862,-0.17963236,109,PA,Major,A4206,0.30,0.19
46216,51.50120218,0.21736661,201,PA,Major,A13,3.50,2.17
26433,51.50452792,-0.22052742,146,PA,Major,A4020,0.60,0.37
6636,51.52527938,-0.05494222,93,PA,Major,A107,0.90,0.56
16250,51.49743368,-0.11188523,107,PA,Major,A23,0.30,0.19
26115,51.4991689,-0.16454613,110,PA,Major,A4,0.90,0.56
8489,51.5127926,-0.04005331,93,PA,Major,A13,0.20,0.12
17573,51.49547704,-0.15849966,110,PA,Major,A3216,1.10,0.68
6767,51.4266285,-0.0549636,104,PA,Major,A212,0.20,0.12
26909,51.40379796,-0.34233645,175,PA,Major,A309,0.20,0.12
6097,51.44602939,0.1571241,106,PA,Major,A2,1.30,0.81
18266,51.36698232,-0.11732763,134,PA,Major,A23,0.20,0.12
26659,51.54685624,-0.00108949,167,PA,Major,A112,0.70,0.43
37541,51.56516557,-0.02019809,125,PA,Major,A1006,1.50,0.93
36255,51.42797678,-0.01203773,104,PA,Major,A21,0.20,0.12
26809,51.43980585,0.15323333,106,PA,Major,A223,0.40,0.25
38022,51.58921269,0.27073406,201,TM,Major,M25,3.30,2.05
27264,51.54310927,-0.13955884,145,PA,Major,A5202,0.30,0.19
28766,51.37762407,-0.0991448,134,PA,Major,A212,1.10,0.68
36793,51.52664677,-0.11384806,96,PA,Major,A201,0.60,0.37
18494,51.48035255,-0.19267958,146,PA,Major,A304,0.70,0.43
17013,51.56941816,-0.32188939,118,PA,Major,A404,1.50,0.93
37383,51.59501908,-0.19865518,57,PA,Major,A598,0.80,0.50
38177,51.50598298,-0.13588456,109,PA,Major,A4,0.80,0.50
26463,51.58105098,-0.22619799,57,PA,Major,A41,1.40,0.87
38463,51.49205776,-0.04720983,103,PA,Major,A200,0.30,0.19
8049,51.61387135,-0.41263183,66,PA,Major,A4125,1.20,0.75
38269,51.50908623,-0.08733689,174,PA,Major,A3,0.30,0.19
38689,51.46912481,-0.27661813,175,PA,Major,A316,0.10,0.06
17915,51.51752122,-0.0917399,174,PA,Major,A1211,0.50,0.31
28496,51.53925701,-0.25161833,118,PA,Major,A404,0.30,0.19
17580,51.55952413,-0.32802407,118,PA,Major,A4005,1.20,0.75
38815,51.39345059,0.02958889,176,PA,Major,A21,3.50,2.17
18434,51.53376931,0.06033757,167,PA,Major,A124,1.30,0.81
6770,51.42264821,-0.10288618,107,PA,Major,A214,0.60,0.37
26430,51.51789104,-0.109021,174,PA,Major,A40,0.30,0.19
26217,51.51372109,0.00135075,93,PA,Major,A13,0.20,0.12
17579,51.520471,-0.26430218,147,PA,Major,A4000,0.20,0.12
28411,51.46055334,-0.15645009,108,PA,Major,A205,0.20,0.12
26182,51.52565506,-0.07770415,122,PA,Major,A10,0.40,0.25
8664,51.45731075,0.14513283,106,PA,Major,A221,0.70,0.43
6458,51.57310296,-0.21207729,57,PA,Major,A41,2.10,1.30
6243,51.44090149,0.04176492,105,PA,Major,A20,2.10,1.30
36269,51.46347816,-0.11474066,107,PA,Major,A23,0.40,0.25
7470,51.62165383,-0.17650934,57,PA,Major,A1000,1.70,1.06
6644,51.53774723,0.00572129,167,PA,Major,A112,0.80,0.50
46122,51.47853144,-0.36843009,111,PA,Major,A4,0.60,0.37
16401,51.51684336,-0.12780184,145,PA,Major,A40,0.30,0.19
37827,51.52045647,-0.11756342,145,PA,Major,A401,0.50,0.31
26649,51.59005677,-0.10290787,165,PA,Major,A105,0.20,0.12
17023,51.55038054,-0.21989169,118,PA,Major,A407,1.30,0.81
28214,51.51585873,-0.10623699,174,PA,Major,A4208,0.30,0.19
6071,51.51822828,-0.00983855,93,PA,Major,A12,2.10,1.30
26790,51.36271453,-0.06841704,134,PA,Major,A212,4.00,2.49
18619,51.40052685,-0.07317958,134,PA,Major,A213,0.30,0.19
46671,51.57355221,0.01537832,125,PA,Major,A114,1.60,0.99
28690,51.57567952,0.17769087,201,PA,Major,A125,0.60,0.37
28773,51.54994586,-0.00297338,167,PA,Major,A112,0.20,0.12
16756,51.38348944,-0.10594377,134,PA,Major,A213,0.30,0.19
26078,51.52147915,-0.09734039,174,PA,Major,A1,0.70,0.43
6657,51.57268922,0.06498279,124,PA,Major,A123,2.30,1.43
6751,51.51295683,-0.10418114,174,PA,Major,A201,0.30,0.19
8670,51.60566995,-0.049344,165,PA,Major,A1055,2.30,1.43
17525,51.45428462,-0.31731995,175,PA,Major,A3004,0.60,0.37
17014,51.55259687,-0.29654374,118,PA,Major,A404,0.50,0.31
6884,51.47240558,-0.20161866,146,PA,Major,A308,1.50,0.93
7652,51.56103186,-0.3328741,185,PA,Major,A4127,0.70,0.43
26199,51.60675441,0.01944699,124,PA,Major,A104,0.30,0.19
16864,51.43059561,-0.36150662,175,PA,Major,A313,0.90,0.56
38368,51.53394681,-0.13792837,145,PA,Major,A4200,0.30,0.19
26114,51.50892987,-0.13684504,109,PA,Major,A4,0.50,0.31
17429,51.6733902,-0.0389137,121,PA,Major,A1010,3.80,2.36
18460,51.48802787,-0.19414797,110,PA,Major,A3218,0.30,0.19
16140,51.60118802,-0.26801189,57,PA,Major,A5,0.80,0.50
8477,51.4232861,-0.1427028,108,PA,Major,A216,1.00,0.62
8544,51.4580469,-0.19476955,108,PA,Major,A217,0.20,0.12
27675,51.58502149,-0.26934829,118,PA,Major,A4006,2.60,1.62
28796,51.42895674,-0.1042793,107,PA,Major,A215,0.80,0.50
6755,51.45096089,0.03213854,105,PA,Major,A205,0.70,0.43
16625,51.63124298,-0.12309471,121,PA,Major,A111,1.90,1.18
6756,51.44054414,-0.05897717,104,PA,Major,A205,0.80,0.50
26271,51.36893617,-0.11803769,134,PA,Major,A23,2.10,1.30
6108,51.48569524,-0.10891335,107,PA,Major,A3,0.90,0.56
28523,51.45439729,-0.37500462,175,PA,Major,A314,1.50,0.93
